lakeid,year4,daynum,sampledate,depth,cl,so4,ca,mg,na,k,fe,mn
TR,2013,218,8/6/2013,15,1.99,3.24,12.73,3.18,2.07,0.76,0,0
TR,2013,218,8/6/2013,20,2.03,3.23,12.76,3.19,2.07,0.76,0,0
TR,2013,218,8/6/2013,32,2.03,3.24,12.89,3.25,2.09,0.79,0,0
TR,2013,218,8/6/2013,32,2.01,3.04,12.95,3.26,2.09,0.78,0,0
TR,2013,318,11/14/2013,0,2.02,2.73,13.03,3.29,2.08,0.75,0,0
TR,2013,318,11/14/2013,10,2,2.74,13.34,3.28,2.05,0.76,0,0
TR,2013,318,11/14/2013,20,2.15,4.12,13.26,3.29,2.08,0.75,0,0
TR,2013,318,11/14/2013,32,2.19,4.22,13.34,3.28,2.08,0.76,0,0
TR,2013,318,11/14/2013,32,2.15,3.98,13.19,3.28,2.05,0.75,0,0
TR,2014,50,2/19/2014,0,1.98,2.92,12.45,3.15,1.85,0.75,0,0
TR,2014,50,2/19/2014,10,1.91,2.91,12.45,3.18,1.83,0.74,3.18,0
TR,2014,50,2/19/2014,20,1.97,2.94,12.23,3.22,1.84,0.74,0,0.22
TR,2014,50,2/19/2014,20,2.14,2.97,12.66,3.28,1.86,0.74,0,0.39
TR,2014,50,2/19/2014,32,1.95,3.07,12.13,3.14,1.8,0.73,0.02,0.84
TR,2014,142,5/22/2014,0,2,2.96,13.01,3.29,1.52,0.71,0.01,0
TR,2014,142,5/22/2014,10,2.01,3.07,12.86,3.3,1.46,0.71,0.01,0
TR,2014,142,5/22/2014,20,2,2.95,12.92,3.26,1.45,0.7,0.01,0
TR,2014,142,5/22/2014,32,2.02,2.96,12.85,3.3,1.46,0.7,0.01,0
TR,2014,142,5/22/2014,32,2,2.96,12.92,3.28,1.5,0.7,0.01,0
TR,2014,226,8/14/2014,0,2.16,2.84,12.26,3.16,2.02,0.75,0.02,0
TR,2014,226,8/14/2014,8,2.14,2.83,12.13,3.13,2.01,0.74,0.02,0
TR,2014,226,8/14/2014,10,2.16,2.81,12.35,3.19,2.03,0.75,0.01,0
TR,2014,226,8/14/2014,15,2.15,2.88,12.3,3.19,2.01,0.75,0.01,0
TR,2014,226,8/14/2014,20,2.16,2.91,12.29,3.18,2.01,0.75,0.01,0
TR,2014,226,8/14/2014,32,2.16,2.58,12.51,3.23,2.01,0.78,0.02,0.09
TR,2014,226,8/14/2014,32,2.16,2.58,12.8,3.23,2.02,0.78,0.02,0.12
TR,2014,316,11/12/2014,0,1.95,2.89,12.98,3.27,2.21,0.75,0.01,0
TR,2014,316,11/12/2014,10,1.94,2.87,13.18,3.25,2.17,0.73,0.01,0
TR,2014,316,11/12/2014,10,2,2.87,13.21,3.24,2.19,0.75,0.01,0
TR,2014,316,11/12/2014,20,1.93,2.86,13.21,3.27,2.18,0.73,0.01,0
TR,2014,316,11/12/2014,32,1.92,2.85,13.44,3.27,2.22,0.73,0.01,0
TR,2015,61,3/2/2015,0,2.3,3.26,11.49,3.15,1.92,0.72,0,0
TR,2015,61,3/2/2015,0,2.31,3.26,11.61,3.18,2,0.75,0,0
TR,2015,61,3/2/2015,10,2.21,3.14,11.07,3.04,1.88,0.69,0,0
TR,2015,61,3/2/2015,20,2.22,3.13,11.09,3.04,1.86,0.71,0.01,0.04
TR,2015,61,3/2/2015,32,2.18,2.91,10.75,3.02,1.85,0.7,0.04,0.33
TR,2015,114,4/24/2015,0,2,3.07,16.13,3.29,2.57,0.77,0,0
TR,2015,114,4/24/2015,10,2.01,3.07,15.92,3.3,2.57,0.77,0,0
TR,2015,114,4/24/2015,20,2.04,3.11,16.02,3.31,2.7,0.8,0,0
TR,2015,114,4/24/2015,32,2.01,3.06,16.2,3.3,2.7,0.8,0,0
TR,2015,114,4/24/2015,32,2,3.07,15.94,3.3,2.64,0.78,0,0
TR,2015,225,8/13/2015,0,2.4,2.95,12.08,3.04,2.04,0.68,0,0
TR,2015,225,8/13/2015,8,2.39,3.13,11.94,3.05,2.05,0.68,0,0
TR,2015,225,8/13/2015,10,2.4,3.13,11.78,3.02,2.02,0.68,0,0
TR,2015,225,8/13/2015,15,2.47,3.24,12.11,3.05,2.05,0.69,0,0
TR,2015,225,8/13/2015,20,2.4,3.19,12.4,3.06,2.06,0.7,0,0
TR,2015,225,8/13/2015,32,2.43,3,12.56,3.09,2.07,0.72,0,0
TR,2015,225,8/13/2015,32,2.41,3,12.29,3.05,2.02,0.69,0.01,0
TR,2015,322,11/18/2015,0,2.36,2.84,12.39,3.09,1.98,0.66,0.01,0
TR,2015,322,11/18/2015,10,1.95,3.17,12.55,3.1,1.96,0.66,0.01,0
TR,2015,322,11/18/2015,10,2.34,2.91,12.64,3.08,1.92,0.65,0.01,0
TR,2015,322,11/18/2015,20,2.35,2.86,12.63,3.11,1.96,0.66,0.01,0
TR,2015,322,11/18/2015,32,2.33,2.85,12.49,3.1,1.94,0.66,0.01,0
TR,2016,61,3/1/2016,0,2.17,3.32,12.98,3.4,,0.76,0.01,0
TR,2016,61,3/1/2016,0,2.14,3.28,12.82,3.44,,0.75,0,0
TR,2016,61,3/1/2016,10,2,3.08,12.27,3.21,,0.7,0,0
TR,2016,61,3/1/2016,20,0.65,0.8,12.03,3.21,,0.7,0.01,0.02
TR,2016,61,3/1/2016,32,0.78,1.09,11.8,3.14,,0.67,0.03,0.4
TR,2016,118,4/27/2016,0,2.15,3.24,13.49,3.19,,0.7,0,0
TR,2016,118,4/27/2016,10,2.13,3.2,13.63,3.18,,0.7,0,0
TR,2016,118,4/27/2016,20,1.83,3.01,13.38,3.21,,0.71,0,0
TR,2016,118,4/27/2016,32,1.69,2.79,13.02,3.07,,0.7,0,0
TR,2016,118,4/27/2016,32,1.77,2.91,13.05,3.12,,0.7,0,0
TR,2016,232,8/19/2016,0,1.9,3.14,13.03,3.16,,0.71,0,0
TR,2016,232,8/19/2016,5,1.88,3.11,13.06,3.16,,0.7,0,0
TR,2016,232,8/19/2016,10,1.93,3.22,13.34,3.22,,0.73,0,0
TR,2016,232,8/19/2016,15,1.91,3.23,13.41,3.19,,0.72,0,0
TR,2016,232,8/19/2016,20,1.97,3.31,13.41,3.24,,0.73,0,0.01
TR,2016,232,8/19/2016,32,1.92,3.01,13.92,3.31,,0.8,0.09,1.44
TR,2016,232,8/19/2016,32,1.92,3.06,14.01,3.34,,0.82,0.13,1.65
TR,2016,320,11/15/2016,0,1.96,3.15,13.58,3.29,,0.74,0,0
TR,2016,320,11/15/2016,10,1.09,2.63,13.8,3.29,,0.73,0,0
TR,2016,320,11/15/2016,20,1.95,3.08,13.84,3.27,,0.73,0,0
TR,2016,320,11/15/2016,32,1.96,2.85,14.82,3.41,,0.8,0.01,1.22
TR,2016,320,11/15/2016,32,1.96,2.83,14.73,3.4,,0.8,0.01,1.31
TR,2017,44,2/13/2017,0,2.13,2.94,13.28,3.27,1.99,0.7,0,0
TR,2017,44,2/13/2017,0,2.13,2.93,13.24,3.28,2.01,0.71,0,0
TR,2017,44,2/13/2017,10,2.07,2.86,13,3.19,1.95,0.68,0,0
TR,2017,44,2/13/2017,20,2.06,2.81,12.65,3.12,1.9,0.67,0.03,0.27
TR,2017,44,2/13/2017,32,2.07,2.59,12.53,3.13,1.94,0.68,0.11,1.18
TR,2017,111,4/21/2017,0,1.97,3.05,11.89,3.06,1.73,0.67,0,0
TR,2017,111,4/21/2017,10,1.96,3.06,12.07,3.07,1.75,0.67,0,0
TR,2017,111,4/21/2017,10,1.97,3.07,11.93,3.07,1.74,0.66,0,0
TR,2017,111,4/21/2017,20,1.97,3.09,11.98,3.07,1.69,0.67,0,0
TR,2017,111,4/21/2017,32,1.98,3.05,11.92,3.04,1.7,0.67,0,0
TR,2017,222,8/10/2017,0,1.96,2.83,12.99,3.25,2.02,0.59,0,0
TR,2017,222,8/10/2017,0,1.97,2.83,12.86,3.25,2.09,0.62,0,0
TR,2017,222,8/10/2017,8,1.95,2.82,12.98,3.23,1.98,0.57,0,0
TR,2017,222,8/10/2017,10,1.95,2.86,13.15,3.3,2.09,0.63,0,0
TR,2017,222,8/10/2017,15,1.96,2.89,13.13,3.23,2.07,0.6,0,0
TR,2017,222,8/10/2017,20,1.98,2.9,13.05,3.26,2.06,0.61,0,0
TR,2017,222,8/10/2017,32,1.98,2.66,13.11,3.25,2.05,0.61,0,0
TR,2017,318,11/14/2017,0,2.05,3.12,13,3.25,1.9,0.72,0,0
TR,2017,318,11/14/2017,10,2.1,3.13,12.69,3.24,1.87,0.73,0,0
TR,2017,318,11/14/2017,20,2.1,3.22,12.67,3.28,1.93,0.72,0,0
TR,2017,318,11/14/2017,32,2.09,3.13,12.96,3.21,1.87,0.71,0,0
TR,2017,318,11/14/2017,32,2.07,3.19,12.95,3.21,1.88,0.7,0,0
TR,2018,52,2/21/2018,0,2.4,2.87,14.5,3.7,2.2,0.83,0,0
TR,2018,52,2/21/2018,10,2.25,2.62,13.3,3.38,2,0.75,0,0
TR,2018,52,2/21/2018,10,2.26,2.61,13.45,3.4,2,0.76,0,0
TR,2018,52,2/21/2018,20,2.31,2.67,13.63,3.45,2.06,0.76,0.01,0.05
TR,2018,52,2/21/2018,32,2.27,2.31,13.08,3.36,1.99,0.75,0.05,1.53
TR,2018,137,5/17/2018,0,2.18,2.97,12.77,3.21,1.99,0.74,0,0.01
TR,2018,137,5/17/2018,10,2.18,2.98,12.8,3.22,2.02,0.72,0,0.01
TR,2018,137,5/17/2018,10,2.14,2.98,12.8,3.22,2.02,0.72,0,0.01
TR,2018,137,5/17/2018,20,2.18,3,12.93,3.25,2.03,0.73,0,0.01
TR,2018,137,5/17/2018,32,2.14,3,12.81,3.17,1.96,0.72,0,0.03
TR,2018,221,8/9/2018,0,2.12,2.94,12.74,3.21,2.11,0.74,0,0
TR,2018,221,8/9/2018,5,2.04,2.9,12.78,3.2,2.12,0.75,0,0
TR,2018,221,8/9/2018,8,2.16,3,13.02,3.23,2.09,0.76,0,0
TR,2018,221,8/9/2018,10,2.1,2.98,13.17,3.22,2.09,0.75,0,0
TR,2018,221,8/9/2018,20,2.09,3.02,13.05,3.25,2.09,0.77,0,0
TR,2018,221,8/9/2018,32,2.2,3.02,13.4,3.27,2.05,0.79,0,0.01
TR,2018,221,8/9/2018,32,2.2,3,13.34,3.26,2.07,0.78,0,0.01
TR,2018,318,11/14/2018,0,2.03,2.94,12.53,3.17,1.79,0.68,0,0
TR,2018,318,11/14/2018,10,2,2.97,12.54,3.16,1.74,0.69,0,0
TR,2018,318,11/14/2018,20,1.99,2.95,12.9,3.21,1.82,0.7,0.01,0
TR,2018,318,11/14/2018,20,1.99,2.94,12.65,3.22,1.85,0.7,0,0
TR,2018,318,11/14/2018,32,1.98,2.93,12.54,3.19,1.8,0.69,0,0
WI,2013,56,2/25/2013,0,135.03,23.06,59.93,40.53,67.36,2.8,0,0
WI,2013,56,2/25/2013,0,136.62,23.35,59.59,40.38,66.75,2.83,0,0
WI,2013,120,4/30/2013,0,73.19,10.07,49.46,27.3,67.44,1.89,0,0
WI,2013,120,4/30/2013,0,132.59,19.95,49.95,26.99,68.21,1.94,0,0
WI,2013,135,5/15/2013,0,,,45.87,27.43,65.23,2.08,0,0
WI,2013,135,5/15/2013,0,,,46.21,27.66,65.75,2.07,0,0
WI,2013,149,5/29/2013,0,,,46.45,27.78,64.37,2.03,0,0.01
WI,2013,149,5/29/2013,0,,,46.49,27.89,64.41,2.02,0,0.01
WI,2013,163,6/12/2013,0,,,44.27,28.28,63.18,1.79,0,0.01
WI,2013,163,6/12/2013,0,,,43.57,27.69,62.03,1.78,0,0
WI,2013,175,6/24/2013,0,,,38.47,27.39,59.26,1.72,0,0
WI,2013,175,6/24/2013,0,,,37.54,26.83,58.1,1.72,0,0
WI,2013,191,7/10/2013,0,,,32.93,21.54,43.04,1.55,0,0
WI,2013,191,7/10/2013,0,,,32.77,21.64,42.96,1.59,0,0
WI,2013,203,7/22/2013,0,,,32.42,23.41,43.85,1.47,0,0
WI,2013,203,7/22/2013,0,,,32.85,24.7,44.4,1.49,0,0
WI,2013,220,8/8/2013,0,95.25,14.68,32.57,24.83,44.93,1.43,0,0
WI,2013,220,8/8/2013,0,95.92,15.25,33.13,24.86,45.46,1.43,0,0
WI,2013,231,8/19/2013,0,,,32.77,26.21,47.46,1.53,0,0
WI,2013,231,8/19/2013,0,,,32.75,26.23,47.24,1.6,0,0
WI,2013,252,9/9/2013,0,,,35.98,29.09,48.67,1.56,0,0
WI,2013,252,9/9/2013,0,,,35.63,28.8,48.25,1.59,0,0
WI,2013,275,10/2/2013,0,,,36.34,29.25,46.58,1.57,0,0
WI,2013,275,10/2/2013,0,,,36.42,29.55,47.54,1.58,0,0
WI,2013,304,10/31/2013,0,102.13,17.67,43.52,32.49,47.7,1.69,0,0
WI,2013,304,10/31/2013,0,102.38,17.69,43.55,32.49,47.55,1.67,0,0
WI,2014,122,5/2/2014,0,123.75,17.92,52.83,31.88,57.52,1.95,0,0
WI,2014,122,5/2/2014,0,124.56,18.03,53.26,31.79,58.09,1.93,0,0
WI,2014,135,5/15/2014,0,,,51.93,31.64,58.22,1.95,0,0
WI,2014,135,5/15/2014,0,,,51.97,31.72,58.31,1.93,0,0
WI,2014,154,6/3/2014,0,,,42.59,29.79,54.21,1.74,0.01,0
WI,2014,154,6/3/2014,0,,,42.68,29.84,54.04,1.73,0.01,0
WI,2014,163,6/12/2014,0,,,43.23,30.16,53.56,1.7,0,0
WI,2014,163,6/12/2014,0,,,43.27,30.12,53.73,1.65,0,0
WI,2014,175,6/24/2014,0,,,34.3,28.15,51.23,1.6,0,0
WI,2014,175,6/24/2014,0,,,35.22,28.19,52.6,1.61,0,0
WI,2014,191,7/10/2014,0,,,35.64,26.02,45.99,1.51,0,0
WI,2014,191,7/10/2014,0,,,36.34,26.62,46.83,1.57,0,0
WI,2014,204,7/23/2014,0,,,30.89,25.8,45.58,1.44,0.01,0
WI,2014,204,7/23/2014,0,,,30.87,26.37,45.44,1.43,0.01,0
WI,2014,218,8/6/2014,0,103.82,15.3,30.28,27.25,46.9,1.48,0.01,0
WI,2014,218,8/6/2014,0,103.91,15.35,30.27,27.17,46.4,1.45,0.01,0
WI,2014,231,8/19/2014,0,,,31.69,28.63,47.84,1.45,0.01,0
WI,2014,231,8/19/2014,0,,,31.28,27.97,48.04,1.56,0.01,0
WI,2014,251,9/8/2014,0,,,34.92,26.66,42.92,1.67,0.01,0
WI,2014,251,9/8/2014,0,,,34.99,26.72,42.86,1.65,0.01,0
WI,2014,273,9/30/2014,0,,,35.93,29.67,43.61,1.7,0,0
WI,2014,273,9/30/2014,0,,,35.54,29.34,43.52,1.7,0,0
WI,2014,307,11/3/2014,0,100,16.41,47.68,32.27,45.1,1.91,0.01,0
WI,2014,307,11/3/2014,0,99.77,16.34,47.39,32.32,44.15,1.85,0.01,0
WI,2015,28,1/28/2015,0,115.16,19.65,46.89,34.87,46.07,2.06,0,0
WI,2015,28,1/28/2015,0,115.07,19.67,47.16,35.14,46.16,2.03,0,0
WI,2015,90,3/31/2015,0,,,75.45,37.3,53.01,1.88,0,0
WI,2015,90,3/31/2015,0,,,75.7,37.23,53.24,1.88,0,0
WI,2015,107,4/17/2015,0,111.63,18.67,67.5,35.51,55.81,1.87,0,0
WI,2015,107,4/17/2015,0,111.58,18.65,67.47,35.34,56.1,1.87,0,0
WI,2015,117,4/27/2015,0,,,66.58,35.84,57.41,1.92,0,0
WI,2015,117,4/27/2015,0,,,66.31,35.97,56.78,1.87,0,0
WI,2015,132,5/12/2015,0,,,49.22,36.6,50.91,1.88,0.01,0.01
WI,2015,132,5/12/2015,0,,,49.15,35.81,50.17,1.85,0,0.01
WI,2015,148,5/28/2015,0,,,41.49,36.1,50.38,1.83,0,0
WI,2015,148,5/28/2015,0,,,41.56,36.3,50.94,1.84,0,0
WI,2015,162,6/11/2015,0,,,33.94,36.92,52.34,1.73,0,0
WI,2015,162,6/11/2015,0,,,32.83,36.21,50.98,1.77,0,0
WI,2015,175,6/24/2015,0,,,34.31,34.95,50.01,1.75,0,0
WI,2015,175,6/24/2015,0,,,34.76,34.78,50,1.74,0,0
WI,2015,191,7/10/2015,0,,,32.86,34.46,49.07,1.67,0,0
WI,2015,191,7/10/2015,0,,,32.5,34.5,48.67,1.69,0,0
WI,2015,204,7/23/2015,0,,,29.79,34.04,48.79,1.64,0.06,0
WI,2015,204,7/23/2015,0,,,29.54,33.66,47.81,1.68,0,0
WI,2015,217,8/5/2015,0,106.49,18.25,28.52,31.94,46.1,1.61,0,0
WI,2015,217,8/5/2015,0,106.68,18.12,28.65,32.16,45.76,1.62,0,0
WI,2015,229,8/17/2015,0,,,31.19,35.94,49.2,1.71,0,0
WI,2015,229,8/17/2015,0,,,30.55,35.41,48.37,1.67,0,0
WI,2015,251,9/8/2015,0,,,31.92,31.9,42.5,1.75,0,0
WI,2015,251,9/8/2015,0,,,33.18,33.17,44.66,1.73,0,0
WI,2015,288,10/15/2015,0,,,39.56,30.61,38.71,1.96,0,0
WI,2015,288,10/15/2015,0,,,39.76,30.59,39.01,1.96,0.01,0
WI,2015,313,11/9/2015,0,94.33,16.04,46.53,31.64,38.49,2.07,0.01,0
WI,2015,313,11/9/2015,0,90.73,15.5,46.87,32.01,38.63,2.08,0.01,0
WI,2016,36,2/5/2016,0,88.6,15.81,50.24,31.1,,1.99,0.01,0
WI,2016,36,2/5/2016,0,88.94,18.12,49.98,30.84,,1.95,0.01,0
WI,2016,90,3/30/2016,0,,,55.47,30.91,,1.83,0.01,0
WI,2016,90,3/30/2016,0,,,55.73,30.96,,1.84,0,0
WI,2016,105,4/14/2016,0,106.96,17.63,53.26,30.6,,1.81,0.01,0
WI,2016,105,4/14/2016,0,106.77,17.36,52.95,30.64,,1.82,0.01,0
WI,2016,118,4/27/2016,0,,,50.13,34.65,,1.96,0,0
WI,2016,118,4/27/2016,0,,,49.86,34.49,,1.92,0,0
WI,2016,137,5/16/2016,0,,,50.34,35.28,,1.9,0,0
WI,2016,137,5/16/2016,0,,,50.28,35.21,,1.91,0,0
WI,2016,146,5/25/2016,0,,,40.76,35.97,,1.76,0,0
WI,2016,146,5/25/2016,0,,,40.16,36.17,,1.73,0,0
WI,2016,161,6/9/2016,0,,,38.31,36.23,,1.69,0,0
WI,2016,161,6/9/2016,0,,,38.33,35.44,,1.69,0,0
WI,2016,173,6/21/2016,0,,,30.85,35.3,,1.57,0,0
WI,2016,173,6/21/2016,0,,,30.36,34.92,,1.53,0,0
WI,2016,189,7/7/2016,0,,,30.81,33.14,,1.62,0,0.01
WI,2016,189,7/7/2016,0,,,30.93,33.18,,1.62,0,0.01
WI,2016,202,7/20/2016,0,,,29.35,34.67,,1.59,0,0
WI,2016,202,7/20/2016,0,,,29.29,34.42,,1.56,0,0
WI,2016,216,8/3/2016,0,77.46,11.85,29.52,25.84,,1.8,0.01,0
WI,2016,216,8/3/2016,0,77.61,11.82,29.37,25.72,,1.79,0.01,0
WI,2016,230,8/17/2016,0,,,33.29,27.1,,1.75,0,0
WI,2016,230,8/17/2016,0,,,33.61,27.33,,1.76,0,0
WI,2016,252,9/8/2016,0,,,38.09,28.26,,1.83,0,0
WI,2016,252,9/8/2016,0,,,37.93,28.21,,1.78,0,0
WI,2016,273,9/29/2016,0,,,43.35,29,,2.04,0,0
WI,2016,273,9/29/2016,0,,,43.06,28.79,,2.05,0,0
WI,2016,306,11/1/2016,0,75.74,10.78,48.91,28.71,,2.37,0.01,0
WI,2016,306,11/1/2016,0,75.99,11.59,49.9,29.12,,2.41,0.03,0.03
WI,2017,47,2/16/2017,0,106.4,17.67,62.94,34.74,43.86,2.51,0,0
WI,2017,47,2/16/2017,0,106.09,15.04,54.06,31.12,49.53,2.68,0,0
WI,2017,108,4/18/2017,0,148.12,15.03,52.08,28.91,64.8,2.21,0,0
WI,2017,108,4/18/2017,0,147.25,14.89,52.05,29.13,64.45,2.21,0,0
WI,2017,124,5/4/2017,0,,,49.9,28.71,64.46,2.16,0,0
WI,2017,124,5/4/2017,0,,,49.58,28.73,63.7,2.15,0,0
WI,2017,138,5/18/2017,0,,,48.17,29.78,64.07,2.08,0,0.01
WI,2017,138,5/18/2017,0,,,48.17,29.85,64.34,2.09,0,0.01
WI,2017,152,6/1/2017,0,,,48.15,31.15,68.76,2.26,0,0.01
WI,2017,152,6/1/2017,0,,,48.41,31.37,69.26,2.3,0,0.01
WI,2017,165,6/14/2017,0,,,40.75,32.12,68.95,2.1,0,0
WI,2017,165,6/14/2017,0,,,40.83,32.19,68.83,2.09,0,0
WI,2017,178,6/27/2017,0,,,42.85,29.99,63.18,1.98,0,0
WI,2017,178,6/27/2017,0,,,43.07,30.15,63.36,2.05,0,0
WI,2017,193,7/12/2017,0,,,34.65,25.96,51.64,1.66,0.01,0
WI,2017,193,7/12/2017,0,,,34.42,26.01,51.37,1.65,0.01,0
WI,2017,207,7/26/2017,0,,,35.06,21.91,39.38,1.73,0.01,0
WI,2017,207,7/26/2017,0,,,35.3,22.01,39.56,1.69,0.01,0
WI,2017,221,8/9/2017,0,81,9,32.84,23.33,39.98,1.73,0,0
WI,2017,221,8/9/2017,0,81,9,33.16,23.54,40.79,1.73,0,0
WI,2017,233,8/21/2017,0,,,36,25.08,41.46,1.76,0,0
WI,2017,233,8/21/2017,0,,,35.74,24.9,41.27,1.78,0,0
WI,2017,251,9/8/2017,0,,,45.84,29.28,44.23,1.9,0,0
WI,2017,251,9/8/2017,0,,,45.4,29.24,44.14,1.93,0,0
WI,2017,275,10/2/2017,0,,,45.84,30.23,43.4,1.99,0,0
WI,2017,275,10/2/2017,0,,,46.3,30.51,43.61,2.04,0,0
WI,2017,304,10/31/2017,0,95,13,52.83,32.41,43.08,2.35,0,0
WI,2017,304,10/31/2017,0,94,13,53.13,32.61,42.58,2.34,0,0
WI,2018,57,2/26/2018,0,68.46,4.99,16.08,6.49,52.17,4.53,0.22,0.06
WI,2018,57,2/26/2018,0,80.27,5.93,16.27,6.4,51.25,4.28,0.21,0.06
WI,2018,116,4/26/2018,0,121.94,16.86,59.31,35.18,53.39,2.45,0,0
WI,2018,116,4/26/2018,0,122.16,16.51,59.46,35.15,52.76,2.39,0,0
WI,2018,136,5/16/2018,0,,,51.35,30.44,58.36,2.35,0,0.01
WI,2018,136,5/16/2018,0,,,51.97,30.88,59.29,2.35,0.01,0.01
WI,2018,151,5/31/2018,0,,,46.69,29.78,56.55,2.26,0.03,0.01
WI,2018,151,5/31/2018,0,,,43.95,27.99,52.95,2.22,0.03,0.01
WI,2018,165,6/14/2018,0,,,43.29,28.64,51.99,1.9,0.01,0.01
WI,2018,165,6/14/2018,0,,,43.17,28.46,52.54,1.89,0.01,0.01
WI,2018,179,6/28/2018,0,,,34.07,22.34,37.9,1.73,0.03,0.01
WI,2018,179,6/28/2018,0,,,34.3,22.33,38.4,1.75,0.03,0.01
WI,2018,194,7/13/2018,0,,,33.42,24.42,39.92,1.68,0,0
WI,2018,194,7/13/2018,0,,,33.31,24.56,39.73,1.64,0,0
WI,2018,205,7/24/2018,0,,,34.97,25.36,39.38,1.65,0,0
WI,2018,205,7/24/2018,0,,,34.65,25.15,38.95,1.64,0,0
WI,2018,221,8/9/2018,0,90.66,12.41,35.56,28.93,47.43,1.79,0,0
WI,2018,221,8/9/2018,0,90.92,12.38,34.93,28.63,47.72,1.77,0,0
WI,2018,233,8/21/2018,0,,,30.86,23.6,33.63,1.65,0,0
WI,2018,233,8/21/2018,0,,,30.76,23.47,33.7,1.65,0,0
WI,2018,249,9/6/2018,0,,,33.17,19.47,25.86,1.64,0,0
WI,2018,249,9/6/2018,0,,,33.02,19.42,25.63,1.65,0,0
WI,2018,285,10/12/2018,0,,,42.64,22.74,28.8,1.83,0,0
WI,2018,285,10/12/2018,0,,,41.59,22.29,28.34,1.85,0.01,0
WI,2018,305,11/1/2018,0,71.62,11.87,49.53,26.5,31.46,1.94,0,0
WI,2018,305,11/1/2018,0,70.98,11.78,49.61,26.55,31.54,1.94,0,0
